,tpm
AC002511.3,0
AC002519.1,0.70103
AC002519.2,0
AC002524.1,0
AC002525.1,0
AC002540.1,0
AC002542.1,1.35197
AC002543.1,0.00949062
AC002545.1,0
AC002546.1,0.0414492
AC002550.1,0.0950065
AC002550.2,2.46318
AC002551.1,1.12376
AC002553.1,1.35365
AC002553.2,5.59427
AC002558.1,0.512183
AC002558.2,0.905697
AC002558.3,0.373255
AC002563.1,0.184133
AC002984.1,0
AC002985.1,0.799245
AC002996.1,0.271187
AC003001.1,0.035215
AC003001.2,0.136827
AC003002.1,0
AC003002.2,3.52261
AC003002.3,0.6000061
AC003005.1,0
AC003005.2,0.195376
AC003006.1,0.0908142
AC003009.1,0.132605
AC003035.1,0.57576
AC003035.2,0.032512
AC003042.1,0.595996
AC003042.2,0.319564
AC003043.1,0.816117
AC003043.2,0
AC003045.1,0
AC003070.1,0.726712
AC003070.2,0.0265839
AC003070.3,0
AC003070.4,0.726712
AC003070.5,0.0265839
AC003070.6,0
AC003070.7,0
AC003071.1,0
AC003071.2,0
AC003072.1,1.79588
AC003080.1,0.0285989
AC003084.1,0
AC003087.1,0.0523617
AC003092.1,116.7774
AC003092.2,22.3751
AC003098.1,0
AC003101.1,0
AC003101.2,0
AC003101.3,0
AC003102.1,1.22379
AC003103.1,0.0715837
AC003103.2,0.124756
AC003659.1,0
AC003666.1,0
AC003669.1,0
AC003681.1,0.314919
AC003682.1,0.118124
AC003684.1,0.0343635
AC003685.1,0
AC003685.2,0
AC003686.1,0
AC003687.1,0
AC003688.1,0.0659352
AC003688.2,0
AC003950.1,0
AC003956.1,1.56734
AC003957.1,0
AC003958.1,0.343672
AC003958.2,0.0226714
AC003958.3,0
AC003958.4,0
AC003958.5,0.0226714
AC003965.1,0.15497
AC003965.2,0
AC003965.3,0.15497
AC003973.1,0
AC003973.2,0
AC003973.3,0
AC003975.1,1.14459
AC003976.1,0
AC003976.2,0.9641871
AC003982.1,0
AC003984.1,0
AC003985.1,0
AC003985.2,0
AC003986.1,0
AC003986.2,0
AC003986.3,0
AC003988.1,0
AC003989.1,0.04348
AC003989.2,0
AC003991.1,2.7804736
AC003991.2,0.380981
AC003992.1,0.0887918
AC004000.1,0.460729
AC004004.1,0
AC004006.1,0
AC004009.1,0.0432569
AC004009.2,0
AC004009.3,0
AC004012.1,0.472501
AC004014.1,0.0467339
AC004014.2,0
AC004022.1,0.0189747
AC004022.2,0
AC004023.1,0.408994
AC004024.1,0.191565
AC004034.1,1.56984
AC004039.1,2.793638
AC004052.1,0
AC004053.1,0.084774
AC004054.1,0
AC004057.1,634.408504
AC004062.1,0
AC004063.1,0.185165
AC004066.1,0
AC004066.2,0
AC004067.1,1.16147
AC004069.1,7.74072
AC004069.2,0
AC004074.1,0
AC004076.1,1.11781
AC004076.2,0.691011
AC004080.1,0
AC004080.2,0
AC004080.3,0
AC004080.4,0
AC004080.5,0
AC004080.6,0.0609439
AC004099.1,0.0631874
AC004112.1,1.2395
AC004129.1,0
AC004129.2,0
AC004129.3,0
AC004130.1,0.547714
AC004134.1,1.17599
AC004147.1,0
AC004147.2,0.0047156
AC004147.3,0
AC004147.4,0
AC004147.5,0
AC004148.1,0
AC004148.2,8.84124
AC004156.1,0.310847
AC004158.1,0.1269647
AC004160.1,0.7016438
AC004160.2,0.174822
AC004217.1,0
AC004217.2,0
AC004221.1,0.227644
AC004223.1,0.157017
AC004223.2,0.505663
AC004223.3,1.36455
AC004224.1,0.0863006
AC004224.2,0
AC004231.1,0.105777
AC004231.2,0
AC004231.3,0
AC004232.1,0
AC004232.2,0
AC004232.3,0
AC004233.1,0.199313
AC004233.2,0.035787
AC004233.3,0.0310596
AC004233.4,1.09369
AC004241.1,1.4355696
AC004241.2,0.125903
AC004241.3,0.496054
AC004241.4,0
AC004241.5,0
AC004253.1,1.4538
AC004253.2,0
AC004257.1,0.929102
AC004263.1,0.202086
AC004264.1,0.0546896
AC004264.2,0
AC004381.1,0.189146
AC004381.2,0.2739
AC004381.3,0
AC004383.1,1.2374
AC004386.1,1.10043
AC004386.2,0
AC004408.1,0
AC004408.2,0
AC004415.1,0
AC004448.1,0
AC004448.2,1.0993933
AC004448.3,0
AC004449.1,0.196729
AC004453.1,0.439398
AC004453.2,0
AC004461.1,0.222023
AC004461.2,0.592931
AC004466.1,0.106295
AC004466.2,0.0497518
AC004466.3,0.0457201
AC004467.1,0
AC004470.1,0
AC004471.1,0.458194
AC004471.2,0.0474499
AC004477.1,1.423492
AC004477.2,0
AC004477.3,1.26635
AC004485.1,0
AC004486.1,0
AC004490.1,0.0803435
AC004491.1,0
AC004492.1,1.32891
AC004492.2,1.32891
AC004494.1,1.37204
AC004494.2,0
AC004522.1,0
AC004522.2,0
AC004528.1,0.279884
AC004528.2,0
AC004540.1,0.0306782
AC004540.2,0.194393
AC004542.1,1.16016
AC004542.2,0.504071
AC004543.1,0.690783
AC004551.1,0.789422
AC004552.1,2.517
AC004554.1,0
AC004554.2,0.25553
AC004556.1,0
AC004584.1,0.553715
AC004584.2,0.071883
AC004584.3,0.230609
AC004585.1,15.09609
AC004585.2,0
AC004590.1,0
AC004593.1,0
AC004593.2,0
AC004593.3,0
AC004594.1,0.2293866
AC004596.1,1.20145
AC004597.1,0.0878664
AC004623.1,0
AC004637.1,0.110487
AC004656.1,8.13456
AC004672.1,0.008825
AC004672.2,0.26013
AC004674.1,0.120091
AC004675.1,0.0434374
AC004675.2,0
AC004678.1,0.114446
AC004678.2,0
AC004687.1,31.2271
AC004687.2,0
AC004690.1,0
AC004690.2,0.0854873
AC004691.1,0
AC004691.2,0
AC004692.1,0
AC004692.2,0
AC004696.1,0
AC004696.2,0
AC004702.1,1.06214
AC004704.1,0.290859
AC004706.1,3.38851
AC004706.2,0
AC004706.3,0.431615
AC004707.1,0
AC004754.1,0.025656
AC004765.1,0
AC004771.1,1.71479
AC004771.2,0.131625
AC004771.3,3.42825
AC004771.4,0
