,tpm
AL354718.1,2.63532
AL354718.2,0
AL354718.3,0.282315
AL354719.1,0
AL354719.2,0.084795
AL354726.1,1.70954
AL354732.1,2.0841617
AL354733.1,1.98417
AL354733.2,1.7810276
AL354733.3,23.7998
AL354740.1,7.776205
AL354741.1,0
AL354751.1,0.130039
AL354751.2,0
AL354751.3,0.0744159
AL354754.1,0
AL354760.1,0.0362098
AL354761.1,0
AL354766.1,0
AL354766.2,0.340893
AL354771.1,0
AL354793.1,0.208545
AL354794.1,0
AL354794.2,0.188989
AL354796.1,0
AL354798.1,1.07036
AL354809.1,1.16423
AL354810.1,0
AL354811.1,0
AL354813.1,0.0893909
AL354821.1,0
AL354822.1,6.35087
AL354824.1,0
AL354824.2,0
AL354836.1,3.64487
AL354854.1,0.0142215
AL354855.1,0
AL354861.1,0
AL354861.2,0
AL354861.3,0.0301818
AL354863.1,0.178052
AL354864.1,0.140816
AL354868.1,0
AL354872.1,0
AL354872.2,4.41821
AL354877.1,0.0709983
AL354890.1,0
AL354892.1,0.412779
AL354892.2,3.70303
AL354892.3,0.629185
AL354892.4,0.412779
AL354892.5,3.70303
AL354892.6,0.629185
AL354893.1,0.384412
AL354893.2,0.213115
AL354896.1,0
AL354897.1,0
AL354919.1,0.0876399
AL354919.2,0
AL354920.1,1.22424
AL354928.1,0.230088
AL354936.1,0.0357521
AL354941.1,0
AL354943.1,0
AL354949.1,0
AL354950.1,0
AL354950.2,0.13653
AL354956.1,0
AL354976.1,0
AL354977.1,3.8656
AL354977.2,0.459338
AL354979.1,0
AL354980.1,0
AL354983.1,0.185132
AL354984.1,0.0201134
AL354984.2,0
AL354984.3,0.109167
AL354989.1,1.58424
AL354989.2,0
AL354993.1,0.186482
AL354993.2,0.471883
AL354994.1,0
AL355001.1,1.18617
AL355001.2,1.99617
AL355032.1,0.257643
AL355073.1,0.0496054
AL355073.2,0.133188
AL355075.1,0.231441
AL355075.2,8.1223
AL355075.3,0
AL355075.4,0.112747
AL355075.5,0.5128981
AL355076.1,0.158168
AL355076.2,2.56398
AL355076.3,0.534895
AL355095.1,0.0466047
AL355096.1,0
AL355097.1,0.233024
AL355102.1,0.0594737
AL355102.2,0.360839
AL355102.3,0
AL355102.4,0.0601526
AL355102.5,0.0427091
AL355103.1,0.345682
AL355112.1,0
AL355140.1,0.0559305
AL355140.2,0
AL355143.1,0
AL355149.1,0
AL355297.1,0.0790497
AL355297.2,0.925116
AL355297.3,0.875003
AL355297.4,0.468303
AL355298.1,0
AL355300.1,0
AL355301.1,0
AL355303.1,0.0680826
AL355304.1,1.20479
AL355306.1,0
AL355306.2,0.6021734
AL355309.1,0
AL355310.1,0
AL355310.2,1.22673
AL355310.3,0
AL355312.1,0
AL355312.2,2.185645
AL355312.3,0
AL355312.4,0.107641
AL355312.5,0
AL355314.1,0
AL355314.2,0
AL355315.1,0
AL355333.1,0
AL355334.1,0
AL355336.1,0.154793
AL355338.1,4.11215
AL355339.1,0
AL355340.1,0
AL355353.1,0.530729
AL355355.1,0.442297
AL355355.2,1.01452
AL355357.1,0.0698565
AL355365.1,0
AL355375.1,0
AL355375.2,0
AL355376.1,0.0992108
AL355376.2,0
AL355377.1,0.365649
AL355377.2,0
AL355379.1,0
AL355385.1,0.512586
AL355388.1,0.149302
AL355388.2,1.50418
AL355388.3,0
AL355390.1,0.250885
AL355390.2,0
AL355432.1,0.17437
AL355433.1,0
AL355472.1,3.92124
AL355472.2,0.202161
AL355472.3,0.0718944
AL355472.4,0
AL355480.1,0
AL355480.2,0
AL355480.3,4.51461
AL355480.4,0
AL355481.1,0
AL355482.1,1.85517
AL355482.2,0.0174255
AL355483.1,1.46737
AL355483.2,1.12023
AL355483.3,0.381466
AL355483.4,0.484992
AL355488.1,2.25857
AL355490.1,0.0538823
AL355490.2,0.6463
AL355493.1,0
AL355493.2,0.0830863
AL355493.3,0
AL355493.4,0.134642
AL355497.1,0
AL355497.2,0
AL355499.1,0
AL355499.2,0
AL355512.1,0
AL355516.1,0.266878
AL355526.1,0
AL355537.1,0
AL355537.2,0
AL355574.1,2.49544
AL355578.1,0.0732703
AL355581.1,0.5778745
AL355592.1,0
AL355596.1,0.0309086
AL355598.1,0
AL355601.1,0
AL355602.1,0
AL355607.1,0.131851
AL355607.2,0.0553909
AL355613.1,0.222395
AL355615.1,0.036366
AL355674.1,0
AL355677.1,0
AL355773.1,0.0596794
AL355796.1,0
AL355798.1,0
AL355802.1,0.741505
AL355802.2,5.11056
AL355803.1,1.80073
AL355810.1,0
AL355812.1,0.257869
AL355816.1,0
AL355816.2,2.72324
AL355834.1,0
AL355836.1,0
AL355838.1,0.0441633
AL355852.1,0.0317414
AL355862.1,0
AL355863.1,0
AL355864.1,0.725005
AL355864.2,0.400246
AL355870.1,0
AL355877.1,0.524308
AL355877.2,0.820928
AL355877.3,0
AL355916.1,2.75776
AL355916.2,0.208765
AL355922.1,0
AL355922.2,0
AL355922.3,0
AL355922.4,0
AL355974.1,0.011016
AL355974.2,0.50352
AL355974.3,0.87075
AL355981.1,0
AL355987.1,0
AL355987.2,0.083118
AL355987.3,0.304442
AL355987.4,0.802112
AL355987.5,2.93493
AL355989.1,0
AL355989.2,0
AL355990.1,0
AL355990.2,0.052498
AL355994.1,0
AL355994.2,0
AL355994.3,0
AL355994.4,0
AL355994.5,0
AL355997.1,0.721702
AL356000.1,0.0318085
AL356010.1,0
AL356010.2,0
AL356017.1,0.086383
AL356019.1,0
AL356019.2,0.208247
AL356020.1,0.0562906
AL356022.1,1.21153
AL356052.1,0
AL356055.1,0.125
AL356056.1,8.136189
AL356056.2,2.683982
AL356056.3,0.0912454
AL356057.1,0.0515937
AL356057.2,0
AL356094.1,0
AL356095.1,0
AL356095.2,0
AL356095.3,1.83512
AL356102.1,0
AL356108.1,0
AL356118.1,0
AL356121.1,0
AL356121.2,0
AL356124.1,0.637786
AL356124.2,0.214526
AL356130.1,0
AL356130.2,0
AL356131.1,0
AL356131.2,0
AL356133.1,0.0851111
AL356133.2,0
AL356134.1,0
AL356157.1,0.0304017
AL356157.2,0
AL356215.1,0.0364718
AL356218.1,0
AL356218.2,0
AL356234.1,0.042166
AL356234.2,1.411419
AL356234.3,0.340756
AL356235.1,1.122161
AL356258.1,0.127415
AL356259.1,0.401855
AL356266.1,0
AL356270.1,0
AL356272.1,0
AL356273.1,0.0173004
AL356273.2,0.0211927
AL356273.3,0
AL356274.1,0
AL356274.2,0
AL356275.1,0.0162515
AL356275.2,0
AL356276.1,0
AL356276.2,0
AL356277.1,0
AL356277.2,0.127308
AL356277.3,0.0411458
AL356280.1,0
AL356289.1,0
AL356289.2,0
AL356289.3,0
AL356292.1,0
AL356299.1,0
AL356299.2,1.53991
AL356309.1,0
AL356309.2,0
AL356309.3,0
AL356310.1,0.289433
AL356311.1,0
AL356317.1,0
AL356320.1,1.03962
AL356320.2,0.0511005
AL356321.1,0
AL356356.1,0.0691579
AL356361.1,0
AL356361.2,0
AL356364.1,0
AL356379.1,0
AL356387.1,0
AL356387.2,0
AL356390.1,0
AL356413.1,0
AL356414.1,0.165756
AL356417.1,0.732421
AL356417.2,0
AL356417.3,0.105552
AL356421.1,0
AL356421.2,0
AL356423.1,0
AL356432.1,0
AL356432.2,0
AL356432.3,0
AL356432.4,1.14468
AL356432.5,0
AL356432.6,0
AL356441.1,0.0535208
AL356441.2,0
AL356458.1,0
AL356473.1,0
AL356475.1,0
AL356476.1,0.111198
AL356479.1,2.005952
AL356481.1,1.785138
AL356481.2,0.554996
AL356481.3,1.09916
AL356488.1,0.0390687
AL356488.2,1.27509
AL356488.3,0.228683
AL356489.1,0.0348871
AL356489.2,0.285988
AL356490.1,0
AL356498.1,0
AL356512.1,0.650352
AL356515.1,1.76014
AL356535.1,0.0757325
AL356575.1,0
AL356580.1,0
AL356583.1,0
AL356583.2,0
AL356583.3,0
AL356585.1,0.0854773
AL356585.10,0
AL356585.11,0
AL356585.2,0.179185
AL356585.3,0
AL356585.4,0.0967729
AL356585.5,0.179185
AL356585.6,0.0854773
AL356585.7,0.0967729
AL356585.8,0
AL356585.9,1.36012
AL356596.1,0
AL356599.1,13.189236
AL356608.1,0.708111
AL356652.1,0
AL356653.1,0.0914512
AL356737.1,0
AL356740.1,0
AL356740.2,0.0359014
AL356740.3,0
AL356747.1,0
AL356750.1,0
AL356752.1,0.718125
AL356753.1,0.561452
AL356756.1,0.391
AL356776.1,0.249118
AL356800.1,0
AL356801.1,8.10937
AL356804.1,0
AL356805.1,0
AL356806.1,0
AL356807.1,0
AL356859.1,0.521926
AL356863.1,0
AL356867.1,0
AL356961.1,0
AL356966.1,0.1696914
AL356967.1,0
AL356968.1,0
AL356968.2,0.0873256
AL356981.1,0.0332821
AL356986.1,0
AL357033.1,0.0576249
AL357033.2,0
AL357033.3,1.23557
AL357033.4,1.14849
AL357052.1,0.0816088
AL357054.1,0.0160642
AL357054.2,0.0686649
AL357054.3,0.0179602
AL357054.4,0.562761
AL357055.1,0
AL357055.2,0
AL357055.3,0.244903
AL357055.4,0.244903
AL357060.1,7.191953
AL357075.1,0
AL357075.2,0
AL357078.1,0
AL357078.2,0
AL357078.3,0.115956
AL357079.1,3.864087
AL357079.2,0
AL357080.1,0
AL357084.1,0.0607246
AL357093.1,0.134817
AL357093.2,0.159171
AL357094.1,0
AL357123.1,0
AL357127.1,0
AL357134.1,0
AL357134.2,0
AL357137.1,0
AL357139.1,0
AL357140.1,0
AL357140.2,3.26594
AL357140.3,0
AL357140.4,0.213896
AL357140.5,0
AL357143.1,0.3373326
AL357143.2,0
AL357146.1,0
AL357153.1,0.424551
AL357153.2,0.101613
AL357153.3,0.155914
AL357153.4,0
AL357172.1,0.0405553
AL357312.1,0
AL357315.1,0
AL357315.2,0.113076
AL357373.1,0.333279
AL357375.1,0
AL357497.1,0.178167
AL357500.1,0
AL357507.1,0.205786
AL357509.1,0
AL357514.1,0
AL357515.1,0
AL357518.1,0
AL357520.1,0
AL357552.1,0
AL357552.2,0.390397
AL357556.1,0.0143736
AL357556.2,0.0143736
AL357556.3,0
AL357556.4,0
AL357558.1,0.0603149
AL357558.2,0.0676371
AL357559.1,0
AL357562.1,0
AL357563.1,0
AL357568.1,0
AL357568.2,0.0251732
AL357632.1,0
AL357673.1,0.0806046
AL357673.2,0.0116032
AL357752.1,0
AL357793.1,0.149302
AL357793.2,0
AL357832.1,0
AL357833.1,0
AL357833.2,0
AL357835.1,0
AL357873.1,0
AL357874.1,0.0849876
AL357874.2,0.43698
AL357936.1,0
AL357992.1,433.498
AL358072.1,1.05967
AL358074.1,0.270153
AL358075.1,0.107256
AL358075.2,0.504561
AL358075.3,0
AL358075.4,0
AL358113.1,0
AL358115.1,2.930427
AL358117.1,0
AL358154.1,0.355598
AL358176.1,0
AL358176.2,0
AL358176.3,0.121449
AL358176.4,0.16942
AL358176.5,0
AL358178.1,0
AL358214.1,0.886884
AL358215.1,0
AL358215.2,0
AL358215.3,0
AL358216.1,0.672344
AL358232.1,0
AL358234.1,0
AL358292.1,0
AL358332.1,0.159164
AL358333.1,0.1161
AL358333.2,0.0958431
AL358333.3,0
AL358334.1,0
AL358334.2,1.24951
AL358334.3,0.28695
AL358335.1,0.227696
AL358335.2,1.08759
AL358335.3,0
AL358393.1,0
AL358394.1,0.0471219
AL358394.2,0.0902733
AL358394.3,0.800035
AL358452.1,0
AL358453.1,0
AL358472.1,0.106754
AL358472.2,2.18815
AL358472.3,2.61525
AL358472.4,2.16863
AL358472.5,0
AL358472.6,0
AL358472.7,0
AL358473.1,2.027293
AL358473.2,2.670852
AL358612.1,0
AL358613.1,0
AL358613.2,0
AL358613.3,0
AL358777.1,0
AL358777.2,0
AL358779.1,0
AL358781.1,0
AL358781.2,0.113778
AL358790.1,0.40142316
AL358852.1,0.080038
AL358876.1,0
AL358876.2,0.112349
AL358913.1,0
AL358913.2,0
AL358933.1,0.17309
AL358934.1,0
AL358937.1,0.106325
AL358942.1,0.0341766
AL358944.1,0
AL358972.1,0.174752
AL358976.1,0.62116
AL359073.1,0.59211
AL359075.1,0
AL359076.1,0.714917
AL359081.1,0
AL359091.1,0.0127099
AL359091.2,0.0542121
AL359091.3,0
AL359091.4,0.606374
AL359091.5,1.44346
AL359092.1,0
AL359092.2,0.0413482
AL359094.1,0.0307903
AL359094.2,0
AL359095.1,0.221057
AL359182.1,0.0576624
AL359182.2,0
AL359183.1,0
AL359195.1,0
AL359195.2,0
AL359198.1,0
AL359198.2,0
AL359212.1,0
AL359219.1,0
AL359220.1,2.662631
AL359232.1,5.700229
AL359233.1,0.530903
AL359237.1,4.377475
AL359238.1,0.0595156
AL359258.1,0.0404627
AL359258.2,0.158209
AL359258.3,0
AL359263.1,0.0193888
AL359265.1,0.054601
AL359265.2,0
AL359265.3,0.377685
AL359273.1,0.0374952
AL359313.1,0.14407544
AL359314.1,0
AL359317.1,0.252418
AL359317.2,0.2098759
AL359378.1,0
AL359382.1,0.0673669
AL359385.1,0.0880437
AL359396.1,0
AL359397.1,0.468422
AL359397.2,0.237655
AL359399.1,0
AL359458.1,0.299882
AL359475.1,0
AL359502.1,0
AL359504.1,0.160054
AL359504.2,3.03204
AL359508.1,0
AL359510.1,0
AL359510.2,0
AL359511.1,0
AL359513.1,1.64265
AL359532.1,0.0365854
AL359535.1,0
AL359538.1,0.0253368
AL359538.2,0
AL359541.1,0.720579
AL359547.1,0
AL359547.2,0
AL359551.1,0.236142
AL359555.1,0.352495
AL359555.2,0
AL359555.3,0.0594351
AL359555.4,0
AL359633.1,0
AL359633.2,0
AL359636.1,0.0801139
AL359636.2,0.865442
AL359636.3,0
AL359641.1,0.376458
AL359643.1,0.0681906
AL359643.2,0.119829
AL359644.1,0.8100187
AL359649.1,0
AL359672.1,0
AL359682.1,0
AL359692.1,0
AL359693.1,0.0226871
AL359694.1,0
AL359694.2,0.0354801
AL359697.1,1.06979
AL359704.1,0.0279412
AL359704.2,0
AL359706.1,0
AL359710.1,0.123379
AL359711.1,0
AL359711.2,0.194193
AL359715.1,1.035653
AL359715.2,0.424646
AL359715.3,0.817194
AL359715.4,0
AL359736.1,0.0166427
AL359736.2,0
AL359740.1,0
AL359741.1,0
AL359742.1,0
AL359745.1,0
AL359752.1,0.828557
AL359757.1,0
AL359757.2,0
AL359762.1,0
AL359762.2,0
AL359762.3,0
AL359764.1,0.1600279
AL359771.1,0.164758
AL359792.1,0
AL359821.1,0
AL359834.1,0
AL359837.1,0
AL359839.1,0.0171595
AL359844.1,0
AL359845.1,0
AL359851.1,0.0489783
AL359852.1,0
AL359853.1,0
AL359853.2,0.0936089
AL359853.3,0
AL359854.1,0.0238049
AL359878.1,0.666817
AL359878.2,0.436705
AL359880.1,1.14367
AL359881.1,0
AL359881.2,1.37365
AL359881.3,0.258041
AL359885.1,0.0232371
AL359893.1,0
AL359915.1,0.0233984
AL359915.2,14.781396
AL359918.1,0
AL359918.2,0
AL359920.1,0
AL359921.1,0.852769
AL359921.2,1.29066
AL359922.1,0
AL359922.2,0.0838801
AL359922.3,0
AL359924.1,0.00718285
AL359955.1,0.0911169
AL359955.2,0
AL359962.1,0.750315
AL359962.2,0.460736
AL359976.1,0.816866
AL359979.1,0.380656
AL359979.2,0
AL359999.1,0
AL360004.1,0.202437
AL360007.1,0
AL360012.1,0
AL360013.1,0
AL360013.2,0.673732
AL360014.1,0.0619046
AL360081.1,0
AL360085.1,0
AL360089.1,0
AL360091.1,0.47953
AL360091.2,0
AL360091.3,0.0793959
AL360093.1,0.0533236
AL360157.1,0
AL360169.1,0
AL360169.2,0.516878
AL360175.1,0
AL360181.1,2.65838
AL360181.2,5.18536
AL360181.3,0.433447
AL360181.4,1.72838
AL360182.1,0
AL360182.2,0
AL360219.1,0
AL360221.1,0
AL360225.1,0.0490284
AL360227.1,0
AL360267.1,0
AL360267.2,0
AL360268.1,0.0396255
AL360268.2,0.278723
AL360270.1,0.529895
AL360270.2,2.39878
AL360270.3,0.546133
AL360271.1,0
AL360271.2,0
AL360294.1,0.0679862
AL360295.1,0.0819192
AL365181.1,0.193142
AL365181.2,2.82828
AL365181.3,7.58877
AL365181.4,0.319175
AL365184.1,1.79378
AL365184.2,0.260324
AL365194.1,0.359207
AL365199.1,0.0219459
AL365203.1,0
AL365203.2,0.098676
AL365204.1,0
AL365204.2,0.604266
AL365204.3,0
AL365205.1,2.169275
AL365205.2,0
AL365205.3,0
AL365209.1,0
AL365214.1,0
AL365214.2,0.6588864
AL365214.3,0.141422
AL365217.1,0.00876598
AL365220.1,0
AL365222.1,0
AL365223.1,0.0559607
AL365226.1,0
AL365226.2,0.151918
AL365232.1,0.055717
AL365255.1,0.277188
AL365258.1,0
AL365258.2,0
AL365259.1,0
AL365265.1,0
AL365271.1,0.0461454
AL365273.1,27.3619
AL365273.2,1.74465
AL365277.1,2.27493
AL365295.1,2.879172
AL365318.1,0
AL365330.1,4.97518
AL365338.1,0
AL365356.1,0.834154
AL365356.2,0
AL365356.3,0
AL365356.4,0
AL365356.5,0
AL365357.1,2.61546
AL365361.1,0.0408308
AL365366.1,0.0499712
AL365394.1,0
AL365396.1,0
AL365400.1,0
AL365400.2,0.0232692
AL365434.1,31.4824
AL365434.2,2.37467
AL365436.1,0.159284
AL365436.2,0.0483337
AL365440.1,0.0169687
AL365440.2,0
AL365475.1,0
AL365496.1,0
AL365500.1,0
AL365503.1,0.0695198
AL389885.1,0.413494
AL389889.1,0
AL389895.1,0
AL389915.1,0.0636608
AL389925.1,0.0306806
AL390023.1,0
AL390026.1,0.1803
AL390036.1,0.1240225
AL390036.2,0.1240225
AL390037.1,2.18792
AL390038.1,0.0404627
AL390039.1,0.116825
AL390058.1,0.0373322
AL390061.1,0.13369
AL390066.1,1.11106
AL390067.1,0.0690101
AL390115.1,0
AL390119.1,0
AL390123.1,0
AL390195.1,6.79009
AL390195.2,1.91079
AL390198.1,1.48142
AL390198.2,0
AL390205.1,0
AL390208.1,0.164291
AL390237.1,0.0136239
AL390240.1,0
AL390243.1,0
AL390254.1,0
AL390294.1,0
AL390318.1,0
AL390334.1,5.652498
AL390718.1,0
AL390719.1,43.75127
AL390719.2,0.145783
AL390719.3,0
AL390726.1,0
AL390726.2,0.061348
AL390726.3,12.035
AL390726.4,0
AL390726.5,0
AL390726.6,0.0352867
AL390728.1,0.0191228
AL390728.2,0.0225928
AL390728.3,0.316335
AL390728.4,83.04915
AL390728.5,0.130459
AL390728.6,9.81426
AL390729.1,0
AL390729.2,1.16733
AL390730.1,0
AL390730.2,0
AL390754.1,0.041654
AL390755.1,0
AL390760.1,0.370689
AL390763.1,0
AL390774.1,0
AL390774.2,0
AL390778.1,0
AL390778.2,0.0237946
AL390783.1,0.0959487
AL390786.1,0
AL390816.1,0.111093
AL390816.2,0
AL390816.3,0
AL390835.1,0
AL390838.1,0.464246
AL390838.2,0
AL390840.1,0
AL390856.1,0.037412
AL390860.1,0
AL390862.1,0
AL390866.1,0
AL390877.1,0
AL390879.1,2.1927034
AL390882.1,0
AL390955.1,0.0222929
AL390955.2,0.100078
AL390957.1,1.058322
AL390961.1,0.17123
AL390961.2,0.21893
AL390961.3,0
AL390962.1,0
AL390964.1,0.342461
AL391001.1,0.31363
AL391005.1,0
AL391056.1,0.150722
AL391058.1,0.062939
AL391069.1,0
AL391069.2,2.441893
AL391069.3,1.76001
AL391069.4,0.166275
AL391094.1,0
AL391095.1,0.506138
AL391095.2,0
AL391095.3,0.31074
AL391097.1,0
AL391097.2,0
AL391099.1,0
AL391117.1,0.307877
AL391119.1,0.15727
AL391121.1,0.82031
AL391152.1,0.157353
AL391156.1,0
AL391219.1,0
AL391244.1,14.64720800012
AL391244.2,0.783616
AL391244.3,8.85581
AL391256.1,0
AL391261.1,0
AL391261.2,3.06182
AL391261.3,0
AL391261.4,0.332551
AL391262.1,0.106366
AL391280.1,0.0571815
AL391294.1,0
AL391335.1,0.0471219
AL391336.1,0
AL391358.1,0
AL391361.1,0
AL391361.2,0.272289
AL391361.3,0.329517
AL391380.1,0.040318
AL391415.1,0
AL391416.1,0.114761
AL391417.1,0
AL391419.1,0.0153617
AL391421.1,0.00483235
AL391421.2,0.00483235
AL391422.1,0
AL391422.2,0.417423
AL391422.3,0.360688
AL391422.4,0.150102
AL391425.1,2.5791872
AL391427.1,2.187864
AL391497.1,0.0455965
AL391516.1,0.0148451
AL391560.1,0
AL391597.1,0.0557737
AL391645.1,0
AL391646.1,0
AL391647.1,0
AL391650.1,0.31040211
AL391650.2,0
AL391666.1,0.0739661
AL391669.1,0.706748
AL391684.1,2.34335
AL391704.1,0.00769701
AL391704.2,0
AL391704.3,0.0257969
AL391730.1,0
AL391807.1,0.2822146
AL391811.1,0.0681785
AL391813.1,0
AL391822.1,0
AL391825.1,0.0852569
AL391832.1,0.919427
AL391832.2,2.055204
AL391832.3,1.05916
AL391834.1,2.81907
AL391834.2,2.60753
AL391834.3,0
AL391839.1,0
AL391839.2,0.289756
AL391840.1,0
AL391845.1,0
AL391845.2,0.0567125
AL391863.1,0
AL391863.2,0
AL391869.1,0
AL391883.1,0
AL391903.1,0.176087
AL391903.2,0.191565
AL391903.3,0
AL391987.1,0
AL391987.2,0
AL391987.3,0.802812
AL391987.4,0.262371
AL391987.5,0
AL391987.6,3.09326
AL391988.1,0.453516
AL391994.1,1.88661
AL392003.1,0
AL392003.2,0
AL392023.1,0.0598963
AL392023.2,1.322723
AL392024.1,0
AL392046.1,0.0712023
AL392046.2,1.06124
AL392048.1,0
AL392083.1,0.018262
AL392086.1,0.513489
AL392086.2,0
AL392086.3,0
AL392088.1,0
AL392088.2,0
AL392088.3,0
AL392089.1,0.564199
AL392103.1,0
AL392112.1,0
AL392172.1,4.0737266
AL392183.1,0.0373264
AL392185.1,0
AL441883.1,0
AL441943.1,0
AL441943.2,0.0254507
AL441943.3,0
AL441963.1,0.211306
AL441964.1,0
AL441985.1,0
AL441989.1,0
AL441992.1,11.0786
AL442003.1,0
AL442067.1,6.24475
AL442067.2,1.33393
AL442071.1,0.0459356
AL442125.1,0.461214
AL442125.2,0.487057
AL442128.1,2.85149
AL442128.2,2.0748
AL442163.1,0
AL442163.2,0
AL442163.3,0
AL442224.1,0
AL442638.1,0
AL442639.1,0
AL442644.1,0.00575935
AL442647.1,0
AL442647.2,0
AL442663.1,0.0884838
AL442663.2,0.0504884
AL442663.3,0.274307
AL442663.4,2.88726
AL445070.1,0
AL445072.1,0
AL445074.1,0
AL445123.1,0.187501
AL445183.1,0
AL445183.2,0
AL445183.3,0.379331
AL445187.1,1.8887
AL445189.1,0
AL445189.2,0
AL445190.1,0.138462
AL445193.1,0
AL445193.2,0
AL445205.1,0
AL445209.1,0
AL445213.1,0
AL445218.1,0.752674
AL445220.1,0.0441633
AL445222.1,0
AL445223.1,0
AL445224.1,0.0344087
AL445228.1,0
AL445228.2,0.370042
AL445231.1,0.72042
AL445235.1,0.173174
AL445237.1,0
AL445238.1,0
AL445248.1,2.50947
AL445250.1,0.105378
AL445253.1,0
AL445259.1,0
AL445264.1,0
AL445288.1,0
AL445305.1,0.0424709
AL445307.1,0.48383
AL445309.1,0.819039
AL445363.1,1.29012
AL445363.2,0.0766866
AL445363.3,0
AL445383.1,0
AL445423.1,0
AL445426.1,0
AL445430.1,0.032325
AL445430.2,0.166312
AL445433.1,0
AL445433.2,0.0142492
AL445435.1,1.03737
AL445437.1,0
AL445465.1,0.691076
AL445465.2,0
AL445466.1,0
AL445471.1,1.3644
AL445471.2,0.00744221
AL445472.1,3.41445
AL445483.1,1.50808
AL445487.1,0
AL445488.1,0
AL445489.1,0.0309599
AL445490.1,2.18472
AL445493.1,0
AL445493.2,0
AL445493.3,0.0561359
AL445523.1,0
AL445524.1,8.256972
AL445528.1,0
AL445528.2,0
AL445529.1,0.157413
AL445531.1,0.658951
AL445567.1,0
AL445567.2,0
AL445584.1,0
AL445584.2,0.0768708
AL445584.3,0
AL445604.1,0
AL445623.1,6.57527
AL445623.2,0.953286
AL445644.1,0
AL445645.1,0.360618
AL445646.1,0
AL445647.1,0.334091
AL445647.2,0
AL445648.1,0
AL445649.1,11.6541
AL445665.1,0.059255
AL445669.1,0
AL445669.2,0.137469
AL445670.1,0.0352043
AL445673.1,0.280519
AL445675.1,0
AL445675.2,0
AL445685.1,0.333902
AL445685.2,0
AL445685.3,0
AL445686.1,0
AL445686.2,0.0293061
AL445687.1,0
AL445687.2,0
AL445928.1,0.728074
AL445928.2,0
AL445931.1,0.122017
AL445933.1,0.196002
AL445933.2,0.329664
AL445984.1,0
AL445989.1,0.0669831
AL445989.2,0
AL445991.1,0.678091
AL449043.1,0.0479903
AL449043.2,0
AL449105.1,0
AL449105.2,0
AL449105.3,0
AL449105.4,0
AL449105.5,0
AL449106.1,0
AL449212.1,3.76555
AL449214.1,0
AL449266.1,0.0449514
AL449283.1,0.223723
AL449363.1,0
AL449403.1,0.351954
AL449403.2,0.0203587
AL449423.1,0
AL449983.1,10.393
AL450003.1,0
AL450023.1,0
AL450023.2,0
AL450023.3,0
AL450043.1,0
AL450043.2,0
AL450063.1,0
AL450124.1,10.0803
AL450163.1,0
AL450226.1,0
AL450226.2,0
AL450263.1,0.88013
AL450263.2,0
AL450267.1,0.393371
AL450270.1,0
AL450304.1,0
AL450304.2,0
AL450306.1,0.3061172
AL450306.2,0.212210659
AL450309.1,0
AL450311.1,0.0422807
AL450311.2,0
AL450313.1,0.883883
AL450322.1,0
AL450322.2,0.0814531
AL450326.1,1.88541
AL450326.2,0.00944808
AL450327.1,0
AL450332.1,0.0786864
AL450336.1,0
AL450338.1,0
AL450344.1,0.399753
AL450344.2,0.0386114
AL450344.3,0.248289
AL450345.1,0.413294
AL450346.1,0
AL450346.2,0
AL450384.1,0.780982
AL450384.2,6.94898
AL450405.1,4.83584
AL450423.1,0.170658
AL450426.1,0.199081
AL450442.1,0
AL450447.1,0
AL450468.1,0
AL450468.2,0
AL450469.1,0
AL450469.2,0
AL450471.1,0
AL450472.1,0.0733878
AL450472.2,0
AL450472.3,0
AL450487.1,0
AL450487.2,0
AL450990.1,0.20827
AL450992.1,0.318235
AL450992.2,0
AL450992.3,0
AL450996.1,0
AL450998.1,1.48213
AL450998.2,4.051452
AL451000.1,0
AL451007.1,0.687444
AL451007.2,0
AL451007.3,0
AL451042.1,0
AL451042.2,0
AL451044.1,0
AL451046.1,0
AL451046.2,0
AL451047.1,0.529715
AL451048.1,0
AL451049.1,0
AL451050.1,0.0704082
AL451050.2,0.935593
AL451054.1,0
AL451054.2,0
AL451054.3,0
AL451060.1,0
AL451061.1,0.0738862
AL451062.1,0.729566
AL451062.2,0.156947
AL451062.3,0
AL451063.1,0
AL451064.1,0
AL451064.2,0
AL451065.1,0
AL451067.1,1.18556
AL451069.1,0
AL451069.2,0
AL451069.3,0.0807128
AL451070.1,0.129053
AL451074.1,0
AL451074.2,0.325135
AL451074.3,0
AL451074.4,0.229863
AL451074.5,0.0867764
AL451074.6,0.672474
AL451081.1,0
AL451081.2,0.178586
AL451085.1,0.263141
AL451085.2,0.995636
AL451086.1,0
AL451105.1,0
AL451105.2,0.641898
AL451107.1,0.0724773
AL451123.1,0
AL451124.1,0
AL451127.1,0
AL451129.1,0
AL451137.1,3.28575
AL451139.1,0
AL451140.1,0
AL451142.1,0
AL451142.2,0
AL451142.3,0.0299162
AL451164.1,0.0785455
AL451164.2,0
AL451164.3,0.359704
AL451165.1,0
AL451165.2,6.693884
AL499605.1,0
AL499616.1,0.00686638
AL499627.1,0.0251582
AL499627.2,0
AL500522.1,0
AL500522.2,0
AL500527.1,0.536247
AL500527.2,0.85532
AL512271.1,0.0653278
AL512274.1,0.126383
AL512283.1,0.167688
AL512286.1,0
AL512288.1,0.0536912
AL512288.2,0.436062
AL512303.1,0.116895
